Region,PopDens,ForestLand,WaterArea,Buildings,Ancient,ProtectedArea,LandArea
Blekinge ,52.6,1910,108.29,18.95246,8.53,200.77,2931.1
Dalarna ,10,22760,2193.28,42.950945,27.33,2906.44,28029.47
Gotland ,18.3,1670,31.77,10.624205,21.11,885.84,3134.98
Gävleborg ,15.5,16190,1511.19,35.298865,6.4,447.23,18118.44
Halland ,57.2,3280,260.42,36.275524,25.37,283.89,5427.04
Jämtland ,2.6,34820,4817.44,23.080948,19.78,5354.53,48935.42
Jönköping ,33,7440,757.59,42.219563,34.14,293.45,10436.68
Kalmar ,21.1,7810,472,35.680356,27.47,623.98,11164.69
Kronoberg ,22.5,6880,960.86,26.180617,299.45,249.17,8424.33
Norrbotten ,2.6,57500,7969.94,34.327498,16.81,26038.8,97238.87
Skåne ,117.5,4050,334.4,119.545918,289.27,1003.68,10967.83
Stockholm ,336.9,3560,258.33,95.451839,37.17,1272.33,6524.13
Södermanland ,46.2,3820,500.1,27.906253,21.69,565.72,6075.07
Uppsala ,42.6,5370,216.28,32.784687,33.87,1021.27,8189.62
Värmland ,15.7,14570,1778.91,36.582184,13.22,1080.63,17518.8
Västerbotten ,4.8,39030,4210.75,36.866747,12.32,8351.64,54664.6
Västernorrland ,11.3,18590,1408.87,30.907352,14.87,446.37,21548.74
Västmanland ,51.1,3300,231.74,24.60043,12.65,341.58,5117.69
Västra Götaland ,68.6,14610,1447.42,147.593173,75.53,2382.13,23799.85
Örebro ,33.9,6400,789.6,30.699483,11.1,406.49,8504.39
Östergötland ,41.9,7110,1031.41,42.71,25.45,293.45,10559.43
